batch,sample_type,analyte,sample_id,conc_ng_mL_true,is_area,tic_factor,analyte_area,is_nominal_ng_mL,response_raw,response_tic_norm,slope,intercept,r_squared,conc_ng_mL_calc,lloq_ng_mL,uloq_ng_mL,in_range
B1,CAL,A,CAL_1_A_1,0,760570.457432426,0.9633476067126068,2244.4999430677567,100,0.0029510743168290527,0.003063353556147298,0.012388653579510607,0.005735246304001997,0.9908360131116158,0,0.5,500,FALSE
B1,CAL,B,CAL_1_B_1,0,840690.5388133189,1.064828656750315,2295.5614634328235,100,0.0027305665491051383,0.0025643248158237837,0.011133049771553587,0.005272758829276913,0.9980204114570064,0,0.5,500,FALSE
B1,CAL,C,CAL_1_C_1,0,952957.3091132924,1.2070270861330945,2492.1407734215627,100,0.0026151651806317006,0.0021666168147144098,0.019436793411749177,0.005046960945808843,0.997506217799198,0,0.5,500,FALSE
B1,CAL,A,CAL_1_A_2,0.5,777396.8836795,0.984660158753303,8681.075678071204,100,0.011166851656238668,0.011340818004028141,0.012388653579510607,0.005735246304001997,0.9908360131116158,0.4524762649992174,0.5,500,FALSE
B1,CAL,B,CAL_1_B_2,0.5,679710.8825011327,0.8609299053298509,6841.874485189322,100,0.010065859855021404,0.01169184598270499,0.011133049771553587,0.005272758829276913,0.9980204114570064,0.5765793996385152,0.5,500,TRUE
B1,CAL,C,CAL_1_C_2,0.5,732380.46183496,0.9276418222889846,8607.695160419213,100,0.011753037675053288,0.012669801417590583,0.019436793411749177,0.005046960945808843,0.997506217799198,0.3921861137431175,0.5,500,FALSE
B1,CAL,A,CAL_1_A_3,1.6,809897.7758960853,1.0258261762167853,18944.361360225314,100,0.023391052456299112,0.022802159857691073,0.012388653579510607,0.005735246304001997,0.9908360131116158,1.3776245694621543,0.5,500,TRUE
B1,CAL,B,CAL_1_B_3,1.6,764475.7434293552,0.96829408850388,15813.347534718374,100,0.02068521816504133,0.021362536868320913,0.011133049771553587,0.005272758829276913,0.9980204114570064,1.4452264535954475,0.5,500,TRUE
B1,CAL,C,CAL_1_C_3,1.6,775471.1521409622,0.9822210042335704,29194.796181962574,100,0.03764781720294819,0.03832927318870042,0.019436793411749177,0.005046960945808843,0.997506217799198,1.712335545161119,0.5,500,TRUE
B1,CAL,A,CAL_1_A_4,5,776086.6430180088,0.983000592314546,50971.695479549184,100,0.06567784143447293,0.06681363363152173,0.012388653579510607,0.005735246304001997,0.9908360131116158,4.930187686298396,0.5,500,TRUE
