batch,sample_type,analyte,sample_id,conc_ng_mL_true,is_area,tic_factor,analyte_area,is_nominal_ng_mL
B1,CAL,A,CAL_1_A_1,0,760570.457432426,0.9633476067126067,2244.4999430677567,100
B1,CAL,B,CAL_1_B_1,0,840690.5388133189,1.0648286567503147,2295.5614634328235,100
B1,CAL,C,CAL_1_C_1,0,952957.3091132923,1.2070270861330943,2492.1407734215627,100
B1,CAL,A,CAL_1_A_2,0.5,777396.8836795,0.984660158753303,8681.075678071204,100
B1,CAL,B,CAL_1_B_2,0.5,679710.8825011327,0.8609299053298509,6841.874485189322,100
B1,CAL,C,CAL_1_C_2,0.5,732380.46183496,0.9276418222889846,8607.695160419213,100
B1,CAL,A,CAL_1_A_3,1.6,809897.7758960853,1.0258261762167853,18944.361360225314,100
B1,CAL,B,CAL_1_B_3,1.6,764475.7434293552,0.9682940885038801,15813.347534718374,100
B1,CAL,C,CAL_1_C_3,1.6,775471.1521409622,0.9822210042335705,29194.796181962574,100
B1,CAL,A,CAL_1_A_4,5,776086.6430180088,0.983000592314546,50971.695479549184,100
B1,CAL,B,CAL_1_B_4,5,681163.5027194562,0.8627698114123307,34130.7158210637,100
B1,CAL,C,CAL_1_C_4,5,775787.1753197942,0.9826212829585966,82347.05650873596,100
B1,CAL,A,CAL_1_A_5,16,856634.3086903173,1.0850232257121883,204409.01057669517,100
B1,CAL,B,CAL_1_B_5,16,844584.5606064716,1.0697608711668254,143868.22089285328,100
B1,CAL,C,CAL_1_C_5,16,832930.5284321974,1.05499973510911,264614.11866852443,100
B1,CAL,A,CAL_1_A_6,50,757711.8041995624,0.9597268024552377,482876.0309222594,100
B1,CAL,B,CAL_1_B_6,50,774381.3303411012,0.9808406229521524,471299.0985210045,100
B1,CAL,C,CAL_1_C_6,50,695198.8993228636,0.8805472120397486,701161.0264681497,100
B1,CAL,A,CAL_1_A_7,160,785310.8778722502,0.9946841181256676,1809876.2632401732,100
B1,CAL,B,CAL_1_B_7,160,809655.7316577716,1.0255196000995834,1550709.4408261003,100
B1,CAL,C,CAL_1_C_7,160,924194.9985276887,1.1705964007240075,3254950.39879529,100
B1,CAL,A,CAL_1_A_8,500,868578.0613866413,1.1001513252363448,5561772.856904033,100
B1,CAL,B,CAL_1_B_8,500,750381.1083366555,0.950441655699854,3894087.6912490884,100
B1,CAL,C,CAL_1_C_8,500,817578.78168511,1.035555029699975,8187279.475353933,100
B1,QC,A,QC_B1_A_25,5,699929.6171666062,0.8865391956466152,54791.326896067025,100
B1,QC,A,QC_B1_A_26,5,858842.6701788068,1.0878203626952292,58984.1753963111,100
B1,QC,A,QC_B1_A_27,50,866320.3454631051,1.0972916753376123,671533.8017981506,100
B1,QC,A,QC_B1_A_28,50,956971.6597819767,1.2121117105375676,606184.5778204626,100
B1,QC,B,QC_B1_B_29,5,822234.764822891,1.0414523534374986,42593.57965314826,100
B1,QC,B,QC_B1_B_30,5,752028.4139680945,0.952528152647064,42248.291357092035,100
B1,QC,B,QC_B1_B_31,50,794718.0459755472,1.0065993493704462,417452.9938588964,100
B1,QC,B,QC_B1_B_32,50,749836.7948584427,0.9497522217606134,373105.8658375443,100
B1,QC,C,QC_B1_C_33,5,724294.5747156808,0.9174001412870664,65905.85487134094,100
B1,QC,C,QC_B1_C_34,5,802691.7421427903,1.0166989279752985,87020.45105904998,100
B1,QC,C,QC_B1_C_35,50,718747.0160629582,0.9103735373755242,704451.8205901523,100
B1,QC,C,QC_B1_C_36,50,802786.1757956495,1.0168185387655757,939310.2483430858,100
B1,UNK,A,UNK_B1_A_37,2.7941672881881794,817532.8294896419,1.0354968261014854,29764.256468524094,100
B1,UNK,A,UNK_B1_A_38,3.995856877247797,785394.0684578025,0.9947894883128866,49199.89232653568,100
B1,UNK,A,UNK_B1_A_39,380.9554611081518,774038.6169833426,0.9804065381283746,3687216.692770466,100
B1,UNK,A,UNK_B1_A_40,120.81190610123285,738263.2444284087,0.935093024839424,1229073.9917032488,100
B1,UNK,A,UNK_B1_A_41,24.918434298148423,701890.8186806756,0.8890232768601268,256972.47265915727,100
B1,UNK,A,UNK_B1_A_42,44.434535595436046,856558.6695421012,1.084927420265506,484636.9559937147,100
B1,UNK,A,UNK_B1_A_43,5.555132708585948,791273.3470137028,1.0022362526076023,64423.51651505446,100
B1,UNK,A,UNK_B1_A_44,38.138301777125186,855127.0088199397,1.0831140617306836,434485.4942203611,100
B1,UNK,A,UNK_B1_A_45,6.210546240178834,691270.3107006769,0.8755712148655772,52639.17968633975,100
B1,UNK,A,UNK_B1_A_46,18.111987456628402,802852.5754637503,1.0169026413766176,191354.36230667596,100
B1,UNK,A,UNK_B1_A_47,53.77096198304203,842654.8136688616,1.067316630694768,706483.872837424,100
B1,UNK,A,UNK_B1_A_48,16.295466351449857,787433.2676815555,0.9973723623551474,170051.11101023344,100
B1,UNK,B,UNK_B1_B_49,3.6428943418492614,774397.246970292,0.9808607831443976,29334.021027391955,100
B1,UNK,B,UNK_B1_B_50,93.12000554326536,727775.6678400987,0.9218093353300123,704350.2474889017,100
B1,UNK,B,UNK_B1_B_51,1.265376224792051,952001.3040903892,1.205816198776349,16220.652958574738,100
B1,UNK,B,UNK_B1_B_52,5.481820822113601,848760.4838461981,1.075050145315583,56166.380181727705,100
B1,UNK,B,UNK_B1_B_53,69.02158167770074,933530.4779554043,1.182420830237829,751225.1264374168,100
B1,UNK,B,UNK_B1_B_54,18.401120515415098,795828.5792948076,1.0080059641091987,156702.96369355885,100
B1,UNK,B,UNK_B1_B_55,2.0702823894743574,739657.5509537805,0.9368590701033634,20542.710373216312,100
B1,UNK,B,UNK_B1_B_56,18.33121941466816,670032.529449028,0.8486711879966273,120186.77691742795,100
B1,UNK,B,UNK_B1_B_57,17.229620097059666,739287.2297805869,0.9363900168914948,103426.85571216507,100
B1,UNK,B,UNK_B1_B_58,85.22299371389451,807374.4908086563,1.0226301532497162,685308.0140563924,100
B1,UNK,B,UNK_B1_B_59,2.3684521933566622,869539.4525529888,1.1013690347465748,23075.79835593243,100
B1,UNK,B,UNK_B1_B_60,155.91060423611782,809462.628632877,1.0252750135066342,1011956.7736044234,100
B1,UNK,C,UNK_B1_C_61,172.6833870234834,696981.5737490702,0.8828051687158879,2679284.869488556,100
B1,UNK,C,UNK_B1_C_62,1.03767539058405,842303.3264962359,1.0668714328525033,19128.56048199857,100
B1,UNK,C,UNK_B1_C_63,5.743215469730185,659231.0508946535,0.8349899065155639,79727.70029351745,100
B1,UNK,C,UNK_B1_C_64,0.871366100777424,760623.4874625319,0.9634147751808099,13526.779208957605,100
B1,UNK,C,UNK_B1_C_65,3.533566374960118,764550.0192287472,0.9683881671166921,62257.68672382714,100
B1,UNK,C,UNK_B1_C_66,64.55022601625592,635692.2614693397,0.8051753952678631,1029697.9281420646,100
B1,UNK,C,UNK_B1_C_67,5.427858219984003,862147.0679037052,1.0920057522390905,92089.68208710902,100
B1,UNK,C,UNK_B1_C_68,18.864470189504313,740331.609357829,0.9377128405121126,292847.0005840247,100
B1,UNK,C,UNK_B1_C_69,1.1027642117477243,763135.353781981,0.9665963350002542,23718.890149266095,100
B1,UNK,C,UNK_B1_C_70,26.72065196660355,899655.823582375,1.1395147892529622,556276.0698939945,100
B1,UNK,C,UNK_B1_C_71,1.702007103326881,839773.7499935607,1.063667441103895,38648.16083660805,100
B1,UNK,C,UNK_B1_C_72,205.50793716166189,780947.0409769233,0.9891568303009617,3380268.0592834433,100
B2,CAL,A,CAL_2_A_1,0,957554.2580475969,1.0513762778404674,2463.1372877031595,100
B2,CAL,B,CAL_2_B_1,0,947126.8478781945,1.0399271807273958,3011.6806295914644,100
B2,CAL,C,CAL_2_C_1,0,1062209.4189887575,1.1662856447430405,5024.457171496694,100
B2,CAL,A,CAL_2_A_2,0.5,935890.0035349231,1.0275893403585483,6242.755133615748,100
B2,CAL,B,CAL_2_B_2,0.5,956872.0826786563,1.0506272623207686,7822.1265775813545,100
B2,CAL,C,CAL_2_C_2,0.5,942416.3986660097,1.0347551975023812,11996.112920281668,100
B2,CAL,A,CAL_2_A_3,1.6,876405.2660334199,0.96227623525036865,20131.141307686634,100
B2,CAL,B,CAL_2_B_3,1.6,919653.4786674812,1.0097619463109238,15553.989171146875,100
B2,CAL,C,CAL_2_C_3,1.6,1060013.4060620347,1.1638744645121728,28640.495827788454,100
B2,CAL,A,CAL_2_A_4,5,831016.9691527946,0.9124407525810431,45100.608786275036,100
B2,CAL,B,CAL_2_B_4,5,921852.1085088842,1.0121759998641047,45133.50099445035,100
B2,CAL,C,CAL_2_C_4,5,1034820.4371828281,1.1362130660844982,85937.41268426899,100
B2,CAL,A,CAL_2_A_5,16,889394.2498752332,0.976537891307729,147767.03534792,100
B2,CAL,B,CAL_2_B_5,16,814824.48937999,0.8946617192056914,118795.17635174384,100
B2,CAL,C,CAL_2_C_5,16,831546.0192117724,0.9130216394364088,217794.57850001263,100
B2,CAL,A,CAL_2_A_6,50,875231.3492329195,0.9609872970352945,465845.8776534569,100
B2,CAL,B,CAL_2_B_6,50,833589.1815911459,0.9152649926870428,371853.4541207062,100
B2,CAL,C,CAL_2_C_6,50,887024.5997857056,0.9739360607900601,629593.5673152573,100
B2,CAL,A,CAL_2_A_7,160,873018.8629424456,0.9585580293658107,1036840.9620533751,100
B2,CAL,B,CAL_2_B_7,160,894091.0792650662,0.9816949202280566,1237228.9507510231,100
B2,CAL,C,CAL_2_C_7,160,947835.8120020151,1.0407056097880578,3010173.677160124,100
B2,CAL,A,CAL_2_A_8,500,967651.9155444788,1.0624633128202146,5291149.643360901,100
B2,CAL,B,CAL_2_B_8,500,1063607.375582917,1.1678205743704713,5467677.580318224,100
B2,CAL,C,CAL_2_C_8,500,904506.3009731468,0.9931306346435009,8598375.037085695,100
B2,QC,A,QC_B2_A_97,5,881541.7611471788,0.9679160087341823,48231.35422485657,100
B2,QC,A,QC_B2_A_98,5,1044736.370789146,1.1471005717048905,47059.77018754552,100
B2,QC,A,QC_B2_A_99,50,1065986.6204610716,1.1704329397827098,551422.5590122746,100
B2,QC,A,QC_B2_A_100,50,914701.1679327234,1.0043244037557528,537686.275498502,100
B2,QC,B,QC_B2_B_101,5,880465.4758886998,0.9667342680866481,28581.059959335318,100
B2,QC,B,QC_B2_B_102,5,744800.264402721,0.8177764582436905,33749.71846699457,100
B2,QC,B,QC_B2_B_103,50,1039295.1724250744,1.141126239874678,532385.5364360145,100
B2,QC,B,QC_B2_B_104,50,834478.7816861002,0.9162417565923139,405377.69245555566,100
B2,QC,C,QC_B2_C_105,5,808414.5429955148,0.8876237205604683,79069.95826374073,100
B2,QC,C,QC_B2_C_106,5,1187977.49468547,1.3043765886095289,112615.91685397137,100
B2,QC,C,QC_B2_C_107,50,932167.5256982,1.0235021308250671,853992.142716726,100
B2,QC,C,QC_B2_C_108,50,907733.5924249719,0.9966741389886694,790244.1026762752,100
B2,UNK,A,UNK_B2_A_109,0.8761299192615546,661922.3097408373,0.7267780477044196,6883.187861574,100
B2,UNK,A,UNK_B2_A_110,103.92268419836985,901674.10825288,0.9900209411558104,831150.9624205289,100
B2,UNK,A,UNK_B2_A_111,1.3992423017690878,999655.9886084162,1.0976031734922396,16778.32492754734,100
B2,UNK,A,UNK_B2_A_112,20.154321019576038,948456.2979889495,1.0413868915451097,187031.63486484418,100
B2,UNK,A,UNK_B2_A_113,8.713933681804383,993853.5585470421,1.0912322161610113,81848.44393371853,100
B2,UNK,A,UNK_B2_A_114,1.2364016500762447,1091433.5845238296,1.1983732200684385,17147.433448412306,100
B2,UNK,A,UNK_B2_A_115,5.868129163917863,1017240.7007467451,1.1169108514013626,63822.838911479026,100
B2,UNK,A,UNK_B2_A_116,50.972861169458305,864428.7945897279,0.9491262984584781,511988.3148777477,100
B2,UNK,A,UNK_B2_A_117,253.1728232833904,974896.7638733062,1.0704180178465512,2212284.106678296,100
B2,UNK,A,UNK_B2_A_118,15.023121136692028,892691.6490725535,0.9801583726177922,130459.7458581799,100
B2,UNK,A,UNK_B2_A_119,1.9409060799582452,861757.1840272226,0.9461929211115137,18975.987054528712,100
B2,UNK,A,UNK_B2_A_120,23.55362357526146,650670.8268572952,0.7144241344980765,134262.6386541151,100
B2,UNK,B,UNK_B2_B_121,2.707444033534688,838844.5754979412,0.9210353147736239,22943.525463581653,100
B2,UNK,B,UNK_B2_B_122,212.97654324662523,955190.9980452051,1.0487814635163684,1734606.6638794441,100
B2,UNK,B,UNK_B2_B_123,9.001983706589145,1108218.9712526894,1.2168032539519327,74678.0608205347,100
B2,UNK,B,UNK_B2_B_124,5.5223114502948905,956364.0584525103,1.0500694614280786,50121.382252701704,100
B2,UNK,B,UNK_B2_B_125,2.1627312136909222,967249.0920919614,1.062021020366732,21207.720274065574,100
B2,UNK,B,UNK_B2_B_126,209.83054723499794,822791.8045211348,0.9034096789866425,1763844.3383002402,100
B2,UNK,B,UNK_B2_B_127,2.249996327014568,925576.6459572623,1.0162654708118266,20839.17713753094,100
B2,UNK,B,UNK_B2_B_128,215.43137987218188,721484.5467683591,0.7921762458112623,1505798.620379425,100
B2,UNK,B,UNK_B2_B_129,1.8406152407186684,954955.309554209,1.0485226820569253,19576.892591961616,100
B2,UNK,B,UNK_B2_B_130,1.8126442899667945,974221.7612427077,1.0696768778564913,17036.75225031961,100
B2,UNK,B,UNK_B2_B_131,1.5390679632037387,927658.5772224858,1.0185513915583058,16792.93795490258,100
B2,UNK,B,UNK_B2_B_132,19.223777317829818,974582.8546834502,1.070073351554446,173038.79889274118,100
B2,UNK,C,UNK_B2_C_133,5.167949116195067,939149.4068046263,1.031168102866136,89324.67755952287,100
B2,UNK,C,UNK_B2_C_134,0.9444915706141546,980022.7350028399,1.0760462361967837,21391.022524749198,100
B2,UNK,C,UNK_B2_C_135,5.480486548810219,1078567.370222671,1.184246362620766,107958.56001588496,100
B2,UNK,C,UNK_B2_C_136,80.5468723145318,1012072.5167469945,1.1112362841262595,1638985.8481013838,100
B2,UNK,C,UNK_B2_C_137,0.9972100108792609,913737.5737446373,1.0032663957501444,19772.214453829274,100
B2,UNK,C,UNK_B2_C_138,26.80485508101064,809262.8118197427,0.8885551035202636,331203.2951225052,100
B2,UNK,C,UNK_B2_C_139,4.565594310046217,948837.8079921466,1.0418057822385083,84734.61650324483,100
B2,UNK,C,UNK_B2_C_140,2.845835024233215,874310.7314175244,0.9599764762656837,40962.35869670791,100
B2,UNK,C,UNK_B2_C_141,1.8367382189940347,1046784.4379043538,1.149349310261748,30383.791880828147,100
B2,UNK,C,UNK_B2_C_142,6.0547432509347265,764395.7308988476,0.8392919060150283,76502.68573050867,100
B2,UNK,C,UNK_B2_C_143,2.0969959494105725,872897.5418821226,0.9584248211598485,32656.266012432192,100
B2,UNK,C,UNK_B2_C_144,1.7941299797595622,949197.6094115687,1.042200837321742,31364.933686049204,100
B3,CAL,A,CAL_3_A_1,0,957812.7342206594,0.9848263463465022,3328.3420591389636,100
B3,CAL,B,CAL_3_B_1,0,913617.7274829693,0.939384888473578,2832.2526532804577,100
B3,CAL,C,CAL_3_C_1,0,942933.9148383888,0.9695278931033285,2361.713836518346,100
B3,CAL,A,CAL_3_A_2,0.5,1033796.9808684849,1.0629536099884471,7946.26114735307,100
B3,CAL,B,CAL_3_B_2,0.5,1059631.9343959126,1.089517198027554,6959.062180972541,100
B3,CAL,C,CAL_3_C_2,0.5,1036780.4888787009,1.0660212631820405,10450.261034431958,100
B3,CAL,A,CAL_3_A_3,1.6,1193682.4042881432,1.227348352044748,25431.148536387904,100
B3,CAL,B,CAL_3_B_3,1.6,1086701.0514649136,1.1173497572632392,16697.477624749703,100
B3,CAL,C,CAL_3_C_3,1.6,1000551.9673899718,1.0287709728313787,23211.41508740204,100
B3,CAL,A,CAL_3_A_4,5,908402.9055350792,0.9340229906178694,48388.66053325086,100
B3,CAL,B,CAL_3_B_4,5,1256477.040677054,1.2919140130717617,59547.79892676601,100
B3,CAL,C,CAL_3_C_4,5,1038453.5885767845,1.0677415500438328,80070.45248551376,100
B3,CAL,A,CAL_3_A_5,16,906015.2214050841,0.9315679655863993,164298.10884835213,100
B3,CAL,B,CAL_3_B_5,16,990707.841073543,1.0186492083080971,129994.38053108826,100
B3,CAL,C,CAL_3_C_5,16,941020.6522690672,0.9675606699516343,266948.1754939582,100
B3,CAL,A,CAL_3_A_6,50,945853.2642229276,0.9725295781774194,572861.1145157497,100
B3,CAL,B,CAL_3_B_6,50,881780.4263023549,0.9066496659410133,393904.6014895044,100
B3,CAL,C,CAL_3_C_6,50,983934.2070322024,1.011684534498608,816453.8962350338,100
B3,CAL,A,CAL_3_A_7,160,1003610.7502309987,1.0319160238648117,1794252.768457569,100
B3,CAL,B,CAL_3_B_7,160,867771.6439118906,0.892245787724057,1164460.9005129712,100
B3,CAL,C,CAL_3_C_7,160,658123.4429465309,0.6766847867076863,1434022.4112933483,100
B3,CAL,A,CAL_3_A_8,500,947781.8286331597,0.9745125347345466,4701305.119832916,100
B3,CAL,B,CAL_3_B_8,500,975440.9933906406,1.002951783032148,3339062.6898505352,100
B3,CAL,C,CAL_3_C_8,500,1030367.4722256839,1.0594273774110512,7388079.786519539,100
B3,QC,A,QC_B3_A_169,5,978321.4873435788,1.0059135168178797,70564.09264818614,100
B3,QC,A,QC_B3_A_170,5,1012776.1208765621,1.0413398894737045,62570.531125154215,100
B3,QC,A,QC_B3_A_171,50,865804.1294043437,0.890222782542958,465401.22955475375,100
B3,QC,A,QC_B3_A_172,50,1041736.9618453763,1.071117525727044,622878.9601932226,100
B3,QC,B,QC_B3_B_173,5,1042487.1511851661,1.0718888729854144,46332.19325783074,100
B3,QC,B,QC_B3_B_174,5,997045.0097247905,1.0251651069028969,36056.538959806654,100
B3,QC,B,QC_B3_B_175,50,1104574.6411375506,1.1357274436151774,386796.4089759213,100
B3,QC,B,QC_B3_B_176,50,1011907.5745239785,1.0404468471278607,319213.1387281034,100
B3,QC,C,QC_B3_C_177,5,998281.4577212022,1.0264364269837938,65450.801890075316,100
B3,QC,C,QC_B3_C_178,5,998639.3279800967,1.0268043904143698,68340.00206628736,100
B3,QC,C,QC_B3_C_179,50,1015064.742119335,1.0436930577039483,719326.7810640661,100
B3,QC,C,QC_B3_C_180,50,1075674.6667099108,1.1060123905487365,895919.7606388758,100
B3,UNK,A,UNK_B3_A_181,11.983267475473411,1016548.8666538702,1.0452190396528716,157565.9078147359,100
B3,UNK,A,UNK_B3_A_182,1.017150805022407,1037070.8967645452,1.0663198615687064,15791.75585541172,100
B3,UNK,A,UNK_B3_A_183,67.33944138995994,862049.8743618666,0.8863626446009165,639262.2488704916,100
B3,UNK,A,UNK_B3_A_184,1.49645136349792,936536.6936572092,0.9629502482907882,19025.339861335215,100
B3,UNK,A,UNK_B3_A_185,293.72067049079845,1116215.834816707,1.147696958979247,4025047.16590511,100
B3,UNK,A,UNK_B3_A_186,1.705581491771668,853536.9484872178,0.8776096249486244,18502.95441433354,100
B3,UNK,A,UNK_B3_A_187,3.132828478164869,997669.1389709663,1.0258068387396106,43500.413895860656,100
B3,UNK,A,UNK_B3_A_188,233.07005628498467,1011959.5422703533,1.0405002805433516,3047235.7414751374,100
B3,UNK,A,UNK_B3_A_189,285.70588714800505,1067473.8982086172,1.097580332180945,3135839.57357287,100
B3,UNK,A,UNK_B3_A_190,4.534446260077212,938639.4662945904,0.9651123263460091,48400.075053250526,100
B3,UNK,A,UNK_B3_A_191,1.723196283544627,987997.6144240195,1.0158625439491262,25503.18272752617,100
B3,UNK,A,UNK_B3_A_192,113.39715419796265,801081.2479846692,0.8236744933458846,880163.8120441701,100
B3,UNK,B,UNK_B3_B_193,81.63414818576831,1005501.0189980821,1.0338596047099906,667858.7013318146,100
B3,UNK,B,UNK_B3_B_194,237.28863695468033,907742.0503495756,0.9333434970440727,1716507.8168240257,100
B3,UNK,B,UNK_B3_B_195,386.7949690240058,949360.11827178,0.9761353375672356,3771299.2838908816,100
B3,UNK,B,UNK_B3_B_196,279.571753287283,857051.668115527,0.8812234717542806,1356254.9389972545,100
B3,UNK,B,UNK_B3_B_197,16.411749144592893,1010007.8386558685,1.0384935321768578,120522.01609192834,100
B3,UNK,B,UNK_B3_B_198,4.657349077824729,1037399.7130126006,1.066657951565448,43052.475544024404,100
B3,UNK,B,UNK_B3_B_199,3.819480430222073,942944.3387977933,0.9695386110542265,35627.62837297829,100
B3,UNK,B,UNK_B3_B_200,18.254107232180708,1150065.3106509238,1.1825011064086295,180273.36760204163,100
